,count,mean,std,min,25%,50%,75%,max
constellationType1-svid10-elevationDegrees,65280.0,7.65438112745098,4.299656980959878,0.0,4.0,8.0,11.0,16.0
constellationType1-svid10-cn0DbHz,65280.0,40.85589766438101,5.855190547983183,0.0,38.29999923706055,42.0,44.70000076293945,51.099998474121094
constellationType1-svid10-basebandCn0DbHz,65280.0,37.3637254812846,5.802668176901776,0.0,34.79999923706055,38.5,41.20000076293945,47.599998474121094
constellationType1-svid10-carrierFrequencyHz,65280.0,1575420032.0,0.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0
constellationType2-svid,419476.0,131.97739084000037,5.425357282087659,120.0,131.0,136.0,136.0,138.0
constellationType2-svid125-azimuthDegrees,1434.0,56.0,0.0,56.0,56.0,56.0,56.0,56.0
constellationType2-svid125-elevationDegrees,1434.0,43.0,0.0,43.0,43.0,43.0,43.0,43.0
constellationType2-svid125-cn0DbHz,1434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constellationType2-svid125-basebandCn0DbHz,1434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constellationType2-svid125-carrierFrequencyHz,1434.0,1575420032.0,0.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0
constellationType3-svid,419878.0,13.122821390975474,6.861617045435777,1.0,8.0,12.0,20.0,24.0
constellationType3-svid19-azimuthDegrees,102530.0,24.306661464937093,21.801172603849135,0.0,8.0,20.0,30.0,116.0
constellationType3-svid19-elevationDegrees,102530.0,35.06119184628889,25.255444386854197,0.0,14.0,27.0,58.0,80.0
constellationType3-svid19-cn0DbHz,102530.0,29.36086413369439,6.892004651690126,0.0,26.5,29.5,34.0,43.20000076293945
constellationType3-svid19-basebandCn0DbHz,102530.0,25.9579479149815,6.490694594764966,0.0,23.0,26.0,30.5,39.70000076293945
constellationType3-svid19-carrierFrequencyHz,102530.0,1602000000.0,0.0,1602000000.0,1602000000.0,1602000000.0,1602000000.0,1602000000.0
constellationType3-svid5-azimuthDegrees,175080.0,165.82483436143477,43.32428560229295,0.0,135.0,157.0,189.0,275.0
constellationType3-svid5-elevationDegrees,175080.0,31.445270733379026,15.810892596564274,0.0,20.0,31.0,45.0,55.0
constellationType3-svid5-cn0DbHz,175080.0,39.7651016650201,6.564827153406872,0.0,38.099998474121094,41.29999923706055,43.400001525878906,54.0
constellationType3-svid5-basebandCn0DbHz,175080.0,36.30656270704124,6.320041675400685,0.0,34.599998474121094,37.79999923706055,39.900001525878906,50.5
constellationType3-svid5-carrierFrequencyHz,175080.0,1602000000.0,0.0,1602000000.0,1602000000.0,1602000000.0,1602000000.0,1602000000.0
constellationType3-svid4-azimuthDegrees,76634.0,146.70068115979853,17.597633984027734,0.0,133.0,145.0,161.0,178.0
constellationType3-svid4-elevationDegrees,76634.0,20.873894094005273,15.029648215450814,0.0,7.0,19.0,33.0,51.0
constellationType3-svid4-cn0DbHz,76634.0,38.78944333259138,6.246196745980024,0.0,36.5,40.599998474121094,42.79999923706055,48.20000076293945
constellationType3-svid4-basebandCn0DbHz,76634.0,35.30241407490531,6.168787135262968,0.0,33.0,37.099998474121094,39.29999923706055,44.70000076293945
constellationType3-svid4-carrierFrequencyHz,76634.0,1602000000.0,0.0,1602000000.0,1602000000.0,1602000000.0,1602000000.0,1602000000.0
constellationType3-svid18-azimuthDegrees,38982.0,25.919090862449334,5.81425551015154,0.0,21.0,25.0,30.0,39.0
constellationType3-svid18-elevationDegrees,38982.0,20.51736698989277,11.852225553541338,0.0,10.0,21.0,31.0,41.0
constellationType3-svid18-cn0DbHz,38982.0,42.33781745438578,6.821454888803534,0.0,40.29999923706055,44.0,46.099998474121094,50.5
constellationType3-svid18-basebandCn0DbHz,38982.0,38.873013184330034,6.608623072859829,0.0,36.79999923706055,40.5,42.599998474121094,47.0
constellationType3-svid18-carrierFrequencyHz,38982.0,1602000000.0,0.0,1602000000.0,1602000000.0,1602000000.0,1602000000.0,1602000000.0
constellationType3-svid20-azimuthDegrees,198008.0,164.94823441477112,130.64634103157377,0.0,9.0,205.0,300.0,345.0
constellationType3-svid20-elevationDegrees,198008.0,43.40986222778878,23.554134257235294,0.0,25.0,44.0,64.0,85.0
constellationType3-svid20-cn0DbHz,198008.0,24.883945091281927,7.914201086360953,0.0,22.899999618530273,26.399999618530273,29.399999618530273,41.400001525878906
constellationType3-svid20-basebandCn0DbHz,198008.0,21.615572098014205,7.201665121981362,0.0,19.399999618530273,22.899999618530273,25.899999618530273,37.900001525878906
constellationType3-svid20-carrierFrequencyHz,198008.0,1602000000.0,0.0,1602000000.0,1602000000.0,1602000000.0,1602000000.0,1602000000.0
constellationType3-svid3-azimuthDegrees,15576.0,161.27401129943502,28.81834902340744,0.0,142.0,145.0,206.0,207.0
constellationType3-svid3-elevationDegrees,15576.0,4.122239342578325,2.433833962185658,0.0,2.0,4.0,6.0,9.0
constellationType3-svid3-cn0DbHz,15576.0,33.78781456205253,10.596129590810293,0.0,30.299999237060547,35.70000076293945,41.0,47.5
constellationType3-svid3-basebandCn0DbHz,15576.0,30.477914714054016,10.003012188067503,0.0,26.799999237060547,32.20000076293945,37.5,44.0
constellationType3-svid3-carrierFrequencyHz,15576.0,1602000000.0,0.0,1602000000.0,1602000000.0,1602000000.0,1602000000.0,1602000000.0
constellationType6-svid,419248.0,19.813065297866657,10.24283059186839,1.0,10.0,21.0,30.0,36.0
constellationType6-svid19-azimuthDegrees,281864.0,184.04824312434366,66.46056271721716,53.0,139.0,154.0,226.0,308.0
constellationType6-svid19-elevationDegrees,281864.0,40.86218885703744,21.97738736538062,1.0,21.0,41.0,62.0,80.0
constellationType6-svid19-cn0DbHz,281864.0,16.237211559719697,16.758881630590626,0.0,0.0,0.0,33.900001525878906,40.599998474121094
constellationType6-svid19-basebandCn0DbHz,281864.0,14.523966863857567,15.029877546729498,0.0,0.0,0.0,30.399999618530273,37.099998474121094
constellationType6-svid19-carrierFrequencyHz,281864.0,1575420032.0,0.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0
constellationType6-svid33-azimuthDegrees,244244.0,187.4921144429341,114.48335045196215,0.0,52.0,219.0,305.0,342.0
constellationType6-svid33-elevationDegrees,244244.0,26.79674423936719,16.32582914390653,0.0,12.0,26.0,41.0,56.0
constellationType6-svid33-cn0DbHz,244244.0,11.767495611930201,17.269331044462117,0.0,0.0,0.0,30.5,47.599998474121094
